Galaxy,T,Q,N,chi2_ESD_fix,chi2_MOND_fix,delta_fix,rchi2_ESD_fix,rchi2_MOND_fix,Ud_ESD,Ub_ESD,chi2_ESD_grid,Ud_MOND,Ub_MOND,chi2_MOND_grid,delta_grid,rchi2_ESD_grid,rchi2_MOND_grid,WTL
CamB,10,2,9,966.16,973.74,-7.58,107.351,108.193,0.2,0.2,586.64,0.2,0.2,596.39,-9.74,73.331,74.548,W
D512-2,10,2,4,10.20,10.66,-0.45,2.551,2.664,0.2,0.2,0.81,0.2,0.2,0.71,0.10,0.268,0.236,T
D564-8,10,2,6,100.94,109.79,-8.86,16.823,18.299,0.2,0.2,45.27,0.2,0.2,53.66,-8.39,9.054,10.732,W
D631-7,10,1,16,475.55,480.81,-5.26,29.722,30.051,0.2,0.2,313.03,0.2,0.2,316.19,-3.16,20.868,21.079,W
DDO064,10,1,14,5.56,5.58,-0.03,0.397,0.399,0.4,0.2,4.39,0.4,0.2,4.24,0.15,0.337,0.326,T
DDO154,10,2,12,953.95,1069.09,-115.14,79.496,89.091,0.2,0.2,410.67,0.2,0.2,499.21,-88.54,37.334,45.383,W
DDO161,10,1,31,4504.05,4637.53,-133.48,145.292,149.598,0.2,0.2,3579.47,0.2,0.2,3710.53,-131.06,119.316,123.684,W
DDO168,10,2,10,296.43,300.59,-4.15,29.643,30.059,0.2,0.2,207.61,0.2,0.2,210.41,-2.80,23.068,23.379,W
DDO170,10,2,8,1169.49,1219.38,-49.89,146.186,152.423,0.2,0.2,815.97,0.2,0.2,864.33,-48.36,116.567,123.475,W
ESO079-G014,4,1,15,124.09,119.88,4.20,8.272,7.992,0.6,0.2,45.44,0.6,0.2,45.23,0.21,3.245,3.230,T
ESO116-G012,7,1,15,197.96,193.27,4.69,13.197,12.884,0.8,0.2,67.26,0.8,0.2,66.92,0.34,4.804,4.780,T
ESO444-G084,10,2,7,198.45,194.51,3.94,28.350,27.787,1.5,0.2,99.18,1.5,0.2,97.02,2.15,16.529,16.170,L
ESO563-G021,4,1,30,1615.56,1606.16,9.40,53.852,53.539,0.8,0.2,497.57,0.8,0.2,496.01,1.56,17.158,17.104,L
F561-1,9,3,6,239.40,241.18,-1.79,39.899,40.197,0.2,0.2,116.22,0.2,0.2,117.77,-1.55,23.244,23.554,W
F563-1,9,1,17,48.17,47.22,0.95,2.834,2.778,1.5,0.2,16.63,1.5,0.2,16.59,0.04,1.039,1.037,T
F563-V1,10,3,6,203.27,206.21,-2.93,33.879,34.368,0.2,0.2,140.31,0.2,0.2,144.11,-3.80,28.063,28.822,W
F563-V2,10,1,10,43.59,43.28,0.31,4.359,4.328,1.5,0.2,6.56,1.5,0.2,6.46,0.10,0.729,0.718,T
F565-V2,10,2,7,8.05,7.66,0.39,1.150,1.094,1.2,0.2,2.23,1.2,0.2,2.21,0.02,0.372,0.369,T
F567-2,9,3,5,27.58,28.22,-0.63,5.517,5.644,0.3,0.2,15.26,0.3,0.2,15.57,-0.31,3.814,3.892,T
F568-1,5,1,12,83.52,82.85,0.67,6.960,6.904,1.5,0.2,12.06,1.5,0.2,11.88,0.19,1.097,1.080,T
F568-3,7,1,18,49.77,50.06,-0.29,2.765,2.781,0.4,0.2,45.82,0.4,0.2,45.82,-0.00,2.695,2.695,T
F568-V1,7,1,15,141.99,141.00,0.99,9.466,9.400,1.5,0.2,12.93,1.5,0.2,12.65,0.28,0.923,0.903,T
F571-8,5,1,13,529.69,527.40,2.29,40.746,40.569,0.5,0.7,529.69,0.5,0.7,527.40,2.29,44.141,43.950,L
F571-V1,7,2,7,5.11,5.48,-0.38,0.730,0.783,0.3,0.2,1.59,0.3,0.2,1.76,-0.17,0.265,0.293,T
