label,M_star_msun,R_half_kpc,D_gc_kpc,sigma_obs_kms,sigma_err_kms,sigma_esd_kms,log10_ratio,within_1dex
Fornax,43000000.0,0.71,140.0,11.7,0.9,18.97992472932906,0.21010862402151587,True
Sculptor,2300000.0,0.28,86.0,9.2,1.4,7.000360405383051,-0.11866742761131839,True
Draco,290000.0,0.22,82.0,9.1,1.2,2.861239316439871,-0.5024872082443915,True
Sextans,440000.0,0.69,86.0,7.9,1.3,2.022636957270884,-0.5917091529600493,True
Carina,380000.0,0.25,101.0,6.6,1.2,3.1987591607008823,-0.31456239289949217,True
Leo I,5500000.0,0.25,254.0,9.2,1.4,11.996304732419812,0.11525966191327963,True
Leo II,740000.0,0.18,233.0,6.6,0.7,5.8716826085560685,-0.05078136361309759,True
Ursa Minor,290000.0,0.18,78.0,9.5,1.2,3.1217184892374057,-0.4833298686646754,True
Crater II,160000.0,1.07,117.0,2.7,0.3,1.0445864686366795,-0.41241936838507043,True
Antlia II,880000.0,2.8,132.0,5.7,1.1,1.5533209023554895,-0.5646136692772725,True
