label,tracer,z,kind,theory_a,data_a,sigma_a,theory_b,data_b,sigma_b,rho,chi2_tracer
ESD-PRIMARY  (H0=67.36),BGS,0.295,DV,8.07057580966685,7.93,0.15,,,,,0.8782914783773655
ESD-PRIMARY  (H0=67.36),LRG1,0.51,"DM,DH",13.522889017616011,13.62,0.25,22.774418348437596,20.98,0.61,-0.445,9.71018816490294
ESD-PRIMARY  (H0=67.36),LRG2,0.706,"DM,DH",17.729335169257745,16.85,0.32,20.198382579891863,20.08,0.6,-0.42,9.768619628069665
ESD-PRIMARY  (H0=67.36),LRG3+ELG1,0.93,"DM,DH",21.95903331906189,21.71,0.28,17.635325201746614,17.88,0.35,-0.389,0.9379446419901862
ESD-PRIMARY  (H0=67.36),ELG2,1.317,"DM,DH",28.068282266031854,27.79,0.69,14.114615289128214,13.82,0.42,-0.444,1.1283739731572686
ESD-PRIMARY  (H0=67.36),QSO,1.491,DV,26.07031440459424,26.07,0.67,,,,,2.202054998401973e-07
ESD-PRIMARY  (H0=67.36),Lya QSO,2.33,"DM,DH",39.2402118936223,39.71,0.94,8.627474786354671,8.52,0.17,-0.477,0.4505433467103578
ESD-PRIMARY  (H0=73.04),BGS,0.295,DV,7.917307961768937,7.93,0.15,,,,,0.007159459309278582
ESD-PRIMARY  (H0=73.04),LRG1,0.51,"DM,DH",13.26607659853065,13.62,0.25,22.341910660050505,20.98,0.61,-0.445,5.206917557910561
ESD-PRIMARY  (H0=73.04),LRG2,0.706,"DM,DH",17.392638369656638,16.85,0.32,19.81479624081917,20.08,0.6,-0.42,2.9642001325265204
ESD-PRIMARY  (H0=73.04),LRG3+ELG1,0.93,"DM,DH",21.542010561565462,21.71,0.28,17.30041374011162,17.88,0.35,-0.389,4.566054535443244
ESD-PRIMARY  (H0=73.04),ELG2,1.317,"DM,DH",27.53523910795222,27.79,0.69,13.846565429949582,13.82,0.42,-0.444,0.1489483355344634
ESD-PRIMARY  (H0=73.04),QSO,1.491,DV,25.575214540960214,26.07,0.67,,,,,0.5453612173695962
ESD-PRIMARY  (H0=73.04),Lya QSO,2.33,"DM,DH",38.495003253020755,39.71,0.94,8.463630901546075,8.52,0.17,-0.477,2.8344163798537587
ESD-CLOSURE-POOL (H0=67.36),BGS,0.295,DV,8.087110843822177,7.93,0.15,,,,,1.0970585442896328
ESD-CLOSURE-POOL (H0=67.36),LRG1,0.51,"DM,DH",13.550594777038674,13.62,0.25,22.821078685214072,20.98,0.61,-0.445,10.524815166737902
ESD-CLOSURE-POOL (H0=67.36),LRG2,0.706,"DM,DH",17.765659115589283,16.85,0.32,20.239765122317255,20.08,0.6,-0.42,10.804676654573207
ESD-CLOSURE-POOL (H0=67.36),LRG3+ELG1,0.93,"DM,DH",22.004023091106873,21.71,0.28,17.671456540008986,17.88,0.35,-0.389,1.1440344256134796
ESD-CLOSURE-POOL (H0=67.36),ELG2,1.317,"DM,DH",28.125788696414965,27.79,0.69,14.143533380154075,13.82,0.42,-0.444,1.4486972847479067
ESD-CLOSURE-POOL (H0=67.36),QSO,1.491,DV,26.123727388907426,26.07,0.67,,,,,0.006430457382066756
ESD-CLOSURE-POOL (H0=67.36),Lya QSO,2.33,"DM,DH",39.32060742663324,39.71,0.94,8.645150797785695,8.52,0.17,-0.477,0.5471152902518605
ESD-CLOSURE-POOL (H0=73.04),BGS,0.295,DV,7.933528980027545,7.93,0.15,,,,,0.0005534977793251242
ESD-CLOSURE-POOL (H0=73.04),LRG1,0.51,"DM,DH",13.293256199446008,13.62,0.25,22.38768487301517,20.98,0.61,-0.445,5.423186382345413
ESD-CLOSURE-POOL (H0=73.04),LRG2,0.706,"DM,DH",17.428272489981616,16.85,0.32,19.85539288972622,20.08,0.6,-0.42,3.445249230956129
ESD-CLOSURE-POOL (H0=73.04),LRG3+ELG1,0.93,"DM,DH",21.586145935398793,21.71,0.28,17.335858910176363,17.88,0.35,-0.389,3.708993573988111
ESD-CLOSURE-POOL (H0=73.04),ELG2,1.317,"DM,DH",27.59165343697441,27.79,0.69,13.874934339147355,13.82,0.42,-0.444,0.08264502591365479
ESD-CLOSURE-POOL (H0=73.04),QSO,1.491,DV,25.627613162314848,26.07,0.67,,,,,0.43596817589010756
ESD-CLOSURE-POOL (H0=73.04),Lya QSO,2.33,"DM,DH",38.57387199901973,39.71,0.94,8.480971228845586,8.52,0.17,-0.477,2.3020316777593237
Planck-LCDM (H0=67.36 baseline),BGS,0.295,DV,8.070841844028765,7.93,0.15,,,,,0.8816188901965775
Planck-LCDM (H0=67.36 baseline),LRG1,0.51,"DM,DH",13.523280858513504,13.62,0.25,22.774582279490485,20.98,0.61,-0.445,9.715645826523676
Planck-LCDM (H0=67.36 baseline),LRG2,0.706,"DM,DH",17.729731299130112,16.85,0.32,20.198283111206536,20.08,0.6,-0.42,9.776586853970267
Planck-LCDM (H0=67.36 baseline),LRG3+ELG1,0.93,"DM,DH",21.95938556294542,21.71,0.28,17.6350510899449,17.88,0.35,-0.389,0.9404285715172687
Planck-LCDM (H0=67.36 baseline),ELG2,1.317,"DM,DH",28.068500283479363,27.79,0.69,14.114223132835008,13.82,0.42,-0.444,1.126889378077799
Planck-LCDM (H0=67.36 baseline),QSO,1.491,DV,26.070125323383586,26.07,0.67,,,,,3.498763749898051e-08
Planck-LCDM (H0=67.36 baseline),Lya QSO,2.33,"DM,DH",39.240033790792346,39.71,0.94,8.627117196516565,8.52,0.17,-0.477,0.44850211559013575
SH0ES-LCDM  (H0=73.04 baseline),BGS,0.295,DV,7.917568943887359,7.93,0.15,,,,,0.00686805138113914
SH0ES-LCDM  (H0=73.04 baseline),LRG1,0.51,"DM,DH",13.266460997999861,13.62,0.25,22.342071477898056,20.98,0.61,-0.445,5.206355917960898
