family,anchor,H0,sigma,pull_vs_esd,ref
cmb,"Planck 2018 (TT,TE,EE+lowE+lensing)",67.36,0.54,0.1487358029434231,"Aghanim+ 2020, A&A 641, A6"
cmb,ACT-DR4 + WMAP,67.6,1.1,0.291197575990403,"Aiola+ 2020, JCAP 12 047"
cmb,ACT-DR6 (lensing combined),68.1,0.9,0.9114637039882704,"Madhavacheril+ 2024, ApJ 962, 113"
cmb,SPT-3G TT/TE/EE,68.3,1.5,0.6802115557262974,"Balkenhol+ 2023, PRD 108, 023510"
bao_bbn,DESI Y1 BAO + BBN,68.5,0.8,1.5253966669868113,"DESI 2024 VI, arXiv:2404.03002"
bao_bbn,BOSS+eBOSS BAO + BBN,67.4,1.1,0.10937939417223157,"Alam+ 2021, PRD 103, 083533"
distance,SH0ES 2022 (Cepheid-SN1a),73.04,1.04,5.538766666912937,"Riess+ 2022, ApJL 934, L7"
distance,SH0ES JWST + HST 2024,72.6,2.0,2.6601586667947217,"Riess+ 2024, ApJL 962, L17"
trgb,CCHP TRGB-JWST,69.85,1.95,1.3181114531227915,"Freedman+ 2024, arXiv:2408.06153"
trgb,EDD TRGB,71.5,1.8,2.3446207408830273,"Anand+ 2022, ApJ 932, 15"
lensing,H0LiCOW (TDCOSMO IV),73.3,1.8,3.3446207408830255,"Wong+ 2020, MNRAS 498, 1420"
lensing,TDCOSMO + ext (hierarchical),67.4,3.5,0.0343763810255585,"Birrer+ 2020, A&A 643, A165"
masers,Megamaser Cosmology Project,73.9,3.0,2.2067724445298182,"Pesce+ 2020, ApJL 891, L1"
gw,GW170817 + EM counterpart,70.0,12.0,0.22669311113245408,"Abbott+ 2017, Nature 551, 85"
