label,tracer,z,kind,theory,data,sigma,residual,chi2_tracer
ESD-PRIMARY (H0=67.36),BGS,0.295,DV,8.056687210514971,7.93,0.15,0.8445814034331416,0.7133177470250951
ESD-PRIMARY (H0=67.36),LRG1,0.51,DM,13.499617569658596,13.62,0.25,-0.4815297213656109,
ESD-PRIMARY (H0=67.36),LRG1,0.51,DH,22.735226006426537,20.98,0.61,2.877419682666453,
ESD-PRIMARY (H0=67.36),LRG2,0.706,DM,17.698824876658765,16.85,0.32,2.652577739558637,
ESD-PRIMARY (H0=67.36),LRG2,0.706,DH,20.163623320356454,20.08,0.6,0.13937220059409228,
ESD-PRIMARY (H0=67.36),LRG3+ELG1,0.93,DM,21.921244167615484,21.71,0.28,0.7544434557695822,
ESD-PRIMARY (H0=67.36),LRG3+ELG1,0.93,DH,17.604976690262873,17.88,0.35,-0.7857808849632164,
ESD-PRIMARY (H0=67.36),ELG2,1.317,DM,28.019979749523944,27.79,0.69,0.33330398481731205,
ESD-PRIMARY (H0=67.36),ELG2,1.317,DH,14.090325543445028,13.82,0.42,0.6436322462976842,
ESD-PRIMARY (H0=67.36),QSO,1.491,DV,26.025450177422844,26.07,0.67,-0.06649227250321875,0.0044212223026423
ESD-PRIMARY (H0=67.36),Lya QSO,2.33,DM,39.172683679219986,39.71,0.94,-0.5716131072127816,
ESD-PRIMARY (H0=67.36),Lya QSO,2.33,DH,8.612627823532378,8.52,0.17,0.5448695501904619,
Planck-LCDM (H0=67.36),BGS,0.295,DV,8.056946665494968,7.93,0.15,0.8463111032997854,0.7162424835685001
Planck-LCDM (H0=67.36),LRG1,0.51,DM,13.4999984791133,13.62,0.25,-0.4800060835467974,
Planck-LCDM (H0=67.36),LRG1,0.51,DH,22.73537238132598,20.98,0.61,2.877659641518,
Planck-LCDM (H0=67.36),LRG2,0.706,DM,17.699206877202563,16.85,0.32,2.6537714912580057,
Planck-LCDM (H0=67.36),LRG2,0.706,DH,20.163508702869684,20.08,0.6,0.13918117144947692,
Planck-LCDM (H0=67.36),LRG3+ELG1,0.93,DM,21.921579149589,21.71,0.28,0.755639819960712,
Planck-LCDM (H0=67.36),LRG3+ELG1,0.93,DH,17.60468967435989,17.88,0.35,-0.7866009304003135,
Planck-LCDM (H0=67.36),ELG2,1.317,DM,28.020176102414727,27.79,0.69,0.33358855422424283,
Planck-LCDM (H0=67.36),ELG2,1.317,DH,14.089923356667086,13.82,0.42,0.6426746587311561,
Planck-LCDM (H0=67.36),QSO,1.491,DV,26.0252416479545,26.07,0.67,-0.06680351051567453,0.004462709017217837
Planck-LCDM (H0=67.36),Lya QSO,2.33,DM,39.17247612013886,39.71,0.94,-0.5718339147458943,
Planck-LCDM (H0=67.36),Lya QSO,2.33,DH,8.612264305579755,8.52,0.17,0.5427312092926788,
