reading,survey,observable,lock,mean,sigma,pull,tag
primary,Planck 2018,Omega_m,0.3157364607189995,0.3158,0.0073,-0.008704011095959177,Planck18
primary,Planck 2018,Omega_b,0.0493,0.0493,0.0006,0.0,Planck18
primary,Planck 2018,Omega_DM,0.265906993347377,0.265,0.007,0.12957047819671186,Planck18
primary,Planck 2018,Omega_Lambda,0.6842635392810005,0.6842,0.0073,0.008704011095951572,Planck18
primary,Planck 2018,n_s,0.9611458121812783,0.9649,0.0042,-0.8938542425527909,Planck18
primary,Planck 2018,alpha_s,-0.0007548239555262525,-0.0045,0.0067,0.5589814991751861,Planck18
primary,Planck 2018,A_s,2.1e-09,2.105e-09,3e-11,-0.16666666666666263,Planck18
primary,Planck 2018,H_0,67.36,67.36,0.54,0.0,Planck18
primary,Planck 2018,S_8,0.830426,0.834,0.016,-0.22337499999999788,Planck18
primary,Planck 2018,sigma_8,0.8094670913070255,0.812,0.0073,-0.3469737935581523,Planck18
primary,Planck 2018,omega_b_h2,0.022369232128,0.02237,0.00015,-0.005119146666681304,Planck18
primary,KiDS-1000,S_8,0.830426,0.759,0.024,2.976083333333333,KiDS-1000
primary,DES Y3,S_8,0.830426,0.772,0.017,3.4368235294117633,DES-Y3
primary,SH0ES,H_0,67.36,73.04,1.04,-5.461538461538468,SH0ES
primary,BBN (post-LUNA),omega_b_h2,0.022369232128,0.02222,0.00015,0.9948808533333243,BBN-D/H post-LUNA (Pisanti+/Yeh+ 2021)
primary,BICEP/Keck-21,r,0.004528943733157514,0.0,0.018,0.2516079851754175,BICEP/Keck-2021 (95% UL r<0.036)
primary,McGaugh+2016,a_0,1.2014540354076285e-10,1.2e-10,2.6e-12,0.055924438754941096,McGaugh+2016
closure-pool,Planck 2018,Omega_m,0.3157364607189995,0.3158,0.0073,-0.008704011095959177,Planck18
closure-pool,Planck 2018,Omega_b,0.05009420105743376,0.0493,0.0006,1.3236684290562675,Planck18
closure-pool,Planck 2018,Omega_DM,0.26564225966156574,0.265,0.007,0.091751380223675,Planck18
closure-pool,Planck 2018,Omega_Lambda,0.6842635392810005,0.6842,0.0073,0.008704011095951572,Planck18
closure-pool,Planck 2018,n_s,0.9611458121812783,0.9649,0.0042,-0.8938542425527909,Planck18
closure-pool,Planck 2018,alpha_s,-0.0007548239555262525,-0.0045,0.0067,0.5589814991751861,Planck18
closure-pool,Planck 2018,A_s,2.1e-09,2.105e-09,3e-11,-0.16666666666666263,Planck18
closure-pool,Planck 2018,H_0,67.36,67.36,0.54,0.0,Planck18
closure-pool,Planck 2018,S_8,0.830426,0.834,0.016,-0.22337499999999788,Planck18
closure-pool,Planck 2018,sigma_8,0.8094670913070255,0.812,0.0073,-0.3469737935581523,Planck18
closure-pool,Planck 2018,omega_b_h2,0.022729590501428778,0.02237,0.00015,2.3972700095251795,Planck18
closure-pool,KiDS-1000,S_8,0.830426,0.759,0.024,2.976083333333333,KiDS-1000
closure-pool,DES Y3,S_8,0.830426,0.772,0.017,3.4368235294117633,DES-Y3
closure-pool,SH0ES,H_0,67.36,73.04,1.04,-5.461538461538468,SH0ES
closure-pool,BBN (post-LUNA),omega_b_h2,0.022729590501428778,0.02222,0.00015,3.397270009525185,BBN-D/H post-LUNA (Pisanti+/Yeh+ 2021)
closure-pool,BICEP/Keck-21,r,0.004528943733157514,0.0,0.018,0.2516079851754175,BICEP/Keck-2021 (95% UL r<0.036)
closure-pool,McGaugh+2016,a_0,1.2014540354076285e-10,1.2e-10,2.6e-12,0.055924438754941096,McGaugh+2016
